,Clip Title,Link,Clarity of Example,Clarity of Example,Clip ID,Film or Series?,Film/Episode Title,Year of Release,Series Title (If Applicable),Start,Stop,Curator,Close-Up Code I,Close-Up Code II,Curator Notes,,Derived start frame,Derived end frame,manual start time,manual end time,frames per second,Note,
,"""Knife""",http://kinolab.org/FilmClip.php?id=1413,,3,1413,Film,Blackmail,1929,,0:49,1:05,EM,CUT,,,,1176,1560,1171,1630,30,24,
,"""Knife""",,,2,1413,Film,Blackmail,,,1:08,1:15,EM,CUT,,,,1632,1800,1630,1802,30,,
,"""Safe"" Haven",http://kinolab.org/FilmClip.php?id=1023,Fair,3,1023,Film,The Texas Chain Saw Massacre,1974,,1:30,1:34,EM,CUZ,,A lot of close-ups with varying subjects. Difficult to find time due to the actors struggling,,2700,2820,2781,2815,,,
,"""Safe"" Haven",,,4,1023,Film,The Texas Chain Saw Massacre,,,1:37,1:40,EM,CU,,,,2910,3000,2923,3001,,,
,"""Safe"" Haven",,,2,1023,Film,The Texas Chain Saw Massacre,,,2:41,2:41,EM,CU,,,,4830,4830,4830,4851,,**Q: knife or face?,
,"""Safe"" Haven",,,1,1023,Film,The Texas Chain Saw Massacre,,,2:50,2:50,EM,SS,,,,5100,5100,5086,5103,,Confusing,
,"""Safe"" Haven",,,2,1023,Film,The Texas Chain Saw Massacre,,,3:16,3:18,EM,SC,,,,5880,5940,5888,5931,,,
,"""Safe"" Haven",,,1,1023,Film,The Texas Chain Saw Massacre,,,3:36,3:40,EM,CU,,,,6480,6600,6495,6616,,,
,"""Safe"" Haven",,,2,1023,Film,The Texas Chain Saw Massacre,,,3:45,3:45,EM,CU,,,,6750,6750,6734,6766,,,
,"""Safe"" Haven",,,1,1023,Film,The Texas Chain Saw Massacre,,,3:46,3:49,EM,CU,,,,6780,6870,6767,6875,,,
,"""Safe"" Haven",,,1,1023,Film,The Texas Chain Saw Massacre,,,3:49,3:52,EM,CU,,,,6870,6960,6875,6965,,,
,"""Safe"" Haven",,,1,1023,Film,The Texas Chain Saw Massacre,,,3:57,4:06,EM,CUZ,,Add SS,,7110,7380,7100,7390,,,
,A Day at Mile 3.25 Tidal Inlet,http://kinolab.org/FilmClip.php?id=1344,,2,1344,Film,Moonrise Kingdom,2012,,2:08,2:11,EM,CU,,"Sam's face is in shallow focus, with the earings in front being very clear, but his face is in close-up",,3072,3144,3033,3121,,seems like 24,
,A Day at Mile 3.25 Tidal Inlet,,,3,1344,Film,Moonrise Kingdom,,,2:43,2:46,EM,CU,,,,3912,3984,3871,3939,,needs to be redone ,
,A Day at Mile 3.25 Tidal Inlet,,,3,1344,Film,Moonrise Kingdom,,,2:46,2:54,EM,CU,,,,3984,4176,3939,4138,,,
,A Day at Mile 3.25 Tidal Inlet,,,3,1344,Film,Moonrise Kingdom,,,3:01,3:08,EM,CU,,,,4344,4512,4296,4464,,,
,A Day at Mile 3.25 Tidal Inlet,,,3,1344,Film,Moonrise Kingdom,,,3:08,3:16,EM,CU,,,,4512,4704,4464,4665,,,
,A Day at Mile 3.25 Tidal Inlet,,,3,1344,Film,Moonrise Kingdom,,,3:16,3:18,EM,CU,,,,4704,4752,4665,4707,,,
