Image Title, Actual Label , Prediction I, Score I, Prediction II, Score II
738_000472.jpg,CU,CU,0.544857,non-CU,0.455143
242_000941.jpg,CU,CU,0.773888,non-CU,0.226112
56_002795.jpg,CU,CU,0.677943,non-CU,0.322057
1303_002231.jpg,CU,CU,0.609533,non-CU,0.390467
56_002382.jpg,CU,non-CU,0.617355,CU,0.382645
1391_008628.jpg,CU,CU,0.983156,non-CU,0.0168438
142_000519.jpg,CU,non-CU,0.502062,CU,0.497938
1382_002088.jpg,CU,non-CU,0.52033,CU,0.47967
344_002460.jpg,CU,non-CU,0.693946,CU,0.306054
357_002219.jpg,CU,CU,0.900156,non-CU,0.0998438
215_002606.jpg,CU,non-CU,0.753973,CU,0.246027
1427_003685.jpg,CU,CU,0.990145,non-CU,0.00985517
1349_005215.jpg,CU,CU,0.936365,non-CU,0.063635
56_002700.jpg,CU,CU,0.662297,non-CU,0.337703
1427_001442.jpg,CU,CU,0.974742,non-CU,0.0252575
1293_000316.jpg,CU,CU,0.599769,non-CU,0.400231
1307_002177.jpg,CU,CU,0.998735,non-CU,0.00126536
31_000489.jpg,CU,CU,0.885249,non-CU,0.114751
1427_002435.jpg,CU,CU,0.530727,non-CU,0.469273
31_001557.jpg,CU,CU,0.834197,non-CU,0.165803
242_002287.jpg,CU,CU,0.959945,non-CU,0.0400548
1427_003356.jpg,CU,CU,0.864864,non-CU,0.135136
357_002012.jpg,CU,CU,0.703725,non-CU,0.296275
1391_010346.jpg,CU,CU,0.985876,non-CU,0.014124
31_003118.jpg,CU,CU,0.979448,non-CU,0.0205518
1370_001540.jpg,CU,non-CU,0.791568,CU,0.208432
685_002417.jpg,CU,CU,0.923413,non-CU,0.0765868
1391_007967.jpg,CU,CU,0.992866,non-CU,0.00713386
144_003419.jpg,CU,non-CU,0.69369,CU,0.30631
924_000013.jpg,CU,CU,0.991207,non-CU,0.00879304
31_003949.jpg,CU,non-CU,0.994778,CU,0.00522167
1380_010224.jpg,CU,non-CU,0.923853,CU,0.0761471
1391_010802.jpg,CU,CU,0.993116,non-CU,0.00688434
685_003576.jpg,CU,CU,0.987745,non-CU,0.0122549
